"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"sRNA87",943.990964130065,2.56050670309439,0.652659676967742,4.14645247256252e-06,4.56109771981877e-05
"sRNA76",17.7176592682641,0.823776078935347,0.422346936877069,0.00822771114265494,0.0452524112846021
"sRNA54",43.9864642734449,0.394715919857004,0.233654830262656,0.0481674062017719,0.17661382273983
"sRNA103",19.2634739323208,-0.396054930107468,0.325630826312566,0.100405275011087,0.276114506280489
"sRNA84",741.390041406574,-0.232999589390201,0.245343211487707,0.249303718695159,0.54846818112935
"sRNA21",45.541989799594,-0.172538815813639,0.206281319476909,0.336590271526373,0.617082164465017
"sRNA30",10.9546670701352,0.166331971772203,0.346523125676777,0.457918772405434,0.719586642351397
"sRNA77",44.0305698417671,-0.0947676648617817,0.201910231079816,0.585613891027042,0.802548644580039
"sRNA102",33.6698246328185,-0.0860665591883674,0.228936890347771,0.65663070920185,0.802548644580039
"sRNA20",895.532033216164,-0.0452220480877718,0.244669766525081,0.807569855948617,0.888326841543479
"sRNA85",12.4402371982971,-0.00852769964717815,0.317621777071362,0.967313258280821,0.967313258280821
