"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"sRNA21",45.541989799594,-0.432414583670171,0.26439240885966,0.00994487808917754,0.109393658980953
"sRNA54",43.9864642734449,0.307588767403691,0.252769773845154,0.0342739701793664,0.188506835986515
"sRNA76",17.7176592682641,0.176271272133437,0.270200127220311,0.081564730196389,0.29907067738676
"sRNA30",10.9546670701352,0.106851837514656,0.219499040746459,0.174353319001065,0.388982224788047
"sRNA84",741.390041406574,0.147993663392321,0.202624187220247,0.181765625291046,0.388982224788047
"sRNA77",44.0305698417671,-0.137774441234105,0.179125573914598,0.212172122611662,0.388982224788047
"sRNA20",895.532033216164,0.0572474185859702,0.172074753556063,0.543960762994085,0.854795484704991
"sRNA103",19.2634739323208,0.0284117702050058,0.172654816581661,0.755444679761407,0.937839528652734
"sRNA85",12.4402371982971,0.0214651832556677,0.184349565180266,0.767323250715873,0.937839528652734
"sRNA87",943.990964130065,-0.00431145779771906,0.189543818751542,0.939620163946247,0.986871625648748
"sRNA102",33.6698246328185,-0.00146647057891775,0.159388304937039,0.986871625648748,0.986871625648748
